Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,1,35,True
#2982YPYV,~ iPlayLOL ~,10,1,67,True
#8CYCYPGLG,ダスデ,7,1,84,True
#28CPYJ902,Akita,25,3,100,True
#8JVVLYQ2U,DawsoD,4,2,80,True
#QGLPVRGU2,StruggleHuggle,19,2,67,True
#2PL09JP8R,bmbbeats,16,0,0,False
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,17,3,100,True
#2QYGQ9CQL,Uncle Grandpa,22,0,42,True
#98QCYG9G2,BLAZE AND ICE,18,1,50,True
#P0LPJPR2,DawsoD’s Uncle,23,1,71,True
#JU9QRQLJ,Theron927,5,0,0,False
#228C8CP0,vionadebbs,11,0,46,True
#QYR0R8YVP,博马涅,21,1,58,True
