Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,2,76,True
#QYGQ090PR,Murk Fest,9,2,60,True
#2982YPYV,~ iPlayLOL ~,10,2,83,True
#8CYCYPGLG,ダスデ,7,2,98,True
#8JVVLYQ2U,DawsoD,4,2,99,True
#QGLPVRGU2,StruggleHuggle,20,2,67,True
#2PL09JP8R,bmbbeats,16,0,0,False
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,17,2,65,True
#2QYGQ9CQL,Uncle Grandpa,21,1,68,True
#98QCYG9G2,BLAZE AND ICE,18,1,79,True
#P0LPJPR2,DawsoD’s Uncle,22,0,0,False
#JU9QRQLJ,Theron927,5,0,36,True
#228C8CP0,vionadebbs,11,2,68,True
#QYR0R8YVP,博马涅,23,3,100,True
