Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,2,56,True
#9URGG2CY,Joe Kelly,26,3,100,True
#GCPPUCGQ,YouWithTheFace,8,0,0,False
#2982YPYV,~ iPlayLOL ~,10,2,83,True
#8CYCYPGLG,ダスデ,7,3,100,True
#28CPYJ902,Akita,24,3,100,True
#8JVVLYQ2U,DawsoD,4,2,91,True
#QGLPVRGU2,StruggleHuggle,18,3,100,True
#2PL09JP8R,bmbbeats,15,1,64,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,13,2,58,True
#2QYGQ9CQL,Uncle Grandpa,22,2,99,True
#98QCYG9G2,BLAZE AND ICE,12,3,100,True
#P0LPJPR2,DawsoD’s Uncle,19,2,94,True
#QYR0R8YVP,博马涅,20,1,85,True
