Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,3,3,100,True
#2982YPYV,~ iPlayLOL ~,10,3,100,True
#8CYCYPGLG,ダスデ,7,2,99,True
#28CPYJ902,Akita,25,3,100,True
#8JVVLYQ2U,DawsoD,4,3,100,True
#QGLPVRGU2,StruggleHuggle,16,3,100,True
#2PL09JP8R,bmbbeats,13,2,88,True
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,15,3,100,True
#2QYGQ9CQL,Uncle Grandpa,23,3,100,True
#98QCYG9G2,BLAZE AND ICE,12,1,91,True
#LYR9RG0J8,dampmcmuffin,32,3,100,True
#P0LPJPR2,DawsoD’s Uncle,19,3,100,True
#JU9QRQLJ,Theron927,5,1,92,True
#QYR0R8YVP,博马涅,20,3,100,True
