Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#80P8UPUG,thekojiman,1,3,100,1,70,4,170
#2PRPCLLUY,bob the third,13,1,69,0,0,1,69
#V8G8P2PU,jolene wood,14,3,100,1,64,4,164
#QYGQ090PR,Murk Fest,4,2,98,1,79,3,177
#2982YPYV,~ iPlayLOL ~,8,2,70,2,76,4,146
#8CYCYPGLG,ダスデ,3,3,100,2,80,5,180
#28CPYJ902,AKgamer243,24,3,100,3,100,6,200
#8JVVLYQ2U,DawsoD,5,3,100,3,100,6,200
#QGLPVRGU2,StruggleHuggle,23,2,79,2,99,4,178
#QGGP2LLU0,Renanlandia,17,0,0,0,0,0,0
#L8GR8VUY,irina,18,1,69,3,100,4,169
#9JUJJ8GP8,ItachiUchiha,10,0,0,0,0,0,0
#QJGQJPC88,Big T,30,0,0,0,0,0,0
#QYP0Y909R,Denmark,6,1,69,0,0,1,69
#2QYGQ9CQL,Uncle Grandpa,22,1,78,1,56,2,134
#UCQV00GV,ser vinicius,21,0,0,0,0,0,0
#Q0QJJCL0,strahovski,20,2,63,3,100,5,163
#9PG9VC8YV,႐ွိင္​းဝဏၰ,19,0,0,0,0,0,0
#QQ9QLPVCJ,deltzy,9,1,68,0,0,1,68
#QJPV0YP9U,gabe,26,0,0,0,0,0,0
#P0LPJPR2,DawsoD’s Uncle,25,3,100,2,74,5,174
#JU9QRQLJ,Theron927,2,3,100,1,69,4,169
#2UYUCC9CV,VansnyaRafli,27,0,0,0,0,0,0
#QG82JUGJ0,FancyFrank$,29,0,0,0,0,0,0
#QYR0R8YVP,博马涅,15,1,70,0,47,1,117
#P99PQRL22,chickenpotpie,28,3,100,0,0,3,100
#Q8RJV82YL,Whiskeywolf187,16,2,69,2,72,4,141
#90CP09R0Y,coutinho,12,0,0,0,0,0,0
#LUCLGJ9L8,色拉油二,7,0,0,0,0,0,0
#QPJJ2YRRC,Pedro parca,11,1,79,0,0,1,79
